controller,time,psi,dpsi,u,action
Uncontrolled,22.700000000000053,-0.1104218738820509,-0.012976219741951872,0.0,0.0
Uncontrolled,22.800000000000054,-0.11043001622274515,-8.142340694251154e-05,0.0,0.0
Uncontrolled,22.900000000000055,-0.11029273645501213,0.0013727976773301343,0.0,0.0
Uncontrolled,23.000000000000057,-0.10911994691822414,0.01172789536787986,0.0,0.0
Uncontrolled,23.10000000000006,-0.10774817107758826,0.013717758406358907,0.0,0.0
Uncontrolled,23.20000000000006,-0.10511001366053152,0.026381574170567357,0.0,0.0
Uncontrolled,23.30000000000006,-0.10253902802802735,0.02570985632504177,0.0,0.0
Uncontrolled,23.400000000000063,-0.09879500569998949,0.037440223280378604,0.0,0.0
Uncontrolled,23.500000000000064,-0.09506900620394891,0.03725999496040571,0.0,0.0
Uncontrolled,23.600000000000065,-0.09072155220068923,0.043474540032596785,0.0,0.0
Uncontrolled,23.700000000000067,-0.08605880204906255,0.04662750151626683,0.0,0.0
Uncontrolled,23.800000000000068,-0.08249950857847653,0.03559293470586025,0.0,0.0
Uncontrolled,23.90000000000007,-0.07770864469274368,0.04790863885732857,0.0,0.0
Uncontrolled,24.00000000000007,-0.07158597155298474,0.06122673139758941,0.0,0.0
Uncontrolled,24.100000000000072,-0.06400366712072372,0.07582304432261017,0.0,0.0
Uncontrolled,24.200000000000074,-0.05571687366128435,0.08286793459439377,0.0,0.0
Uncontrolled,24.300000000000075,-0.04905768089985518,0.06659192761429165,0.0,0.0
Uncontrolled,24.400000000000077,-0.042659145351514195,0.06398535548340986,0.0,0.0
Uncontrolled,24.500000000000078,-0.03559038063566438,0.07068764715849814,0.0,0.0
Uncontrolled,24.60000000000008,-0.027358607330838055,0.08231773304826324,0.0,0.0
Uncontrolled,24.70000000000008,-0.01888749659467409,0.08471110736163963,0.0,0.0
Uncontrolled,24.800000000000082,-0.010435571912334332,0.08451924682339758,0.0,0.0
Uncontrolled,24.900000000000084,-0.0027845976536019874,0.07650974258732345,0.0,0.0
Uncontrolled,25.000000000000085,0.0036694902835217695,0.06454087937123756,0.0,0.0
Uncontrolled,25.100000000000087,0.008136241251527251,0.04466750968005481,0.0,0.0
Uncontrolled,25.200000000000088,0.011131294713980914,0.029950534624536625,0.0,0.0
Uncontrolled,25.30000000000009,0.012546567200850449,0.01415272486869534,0.0,0.0
Uncontrolled,25.40000000000009,0.013463271321459167,0.009167041206087188,0.0,0.0
Uncontrolled,25.500000000000092,0.013903696602447802,0.0044042528098863516,0.0,0.0
Uncontrolled,25.600000000000094,0.014637700602809492,0.0073400400036168975,0.0,0.0
Uncontrolled,25.700000000000095,0.014972625399907354,0.0033492479709786123,0.0,0.0
Uncontrolled,25.800000000000097,0.015455521649849343,0.004828962499419898,0.0,0.0
Uncontrolled,25.900000000000098,0.016478700586885053,0.010231789370357094,0.0,0.0
Uncontrolled,26.0000000000001,0.01737384293489711,0.008951423480120593,0.0,0.0
Uncontrolled,26.1000000000001,0.016226394903852505,-0.011474480310446067,0.0,0.0
Uncontrolled,26.200000000000102,0.014461532551289121,-0.017648623525633834,0.0,0.0
Uncontrolled,26.300000000000104,0.013592353394712719,-0.008691791565764018,0.0,0.0
Uncontrolled,26.400000000000105,0.013977498590736956,0.003851451960242367,0.0,0.0
Uncontrolled,26.500000000000107,0.01398978995604576,0.00012291365308805813,0.0,0.0
Uncontrolled,26.600000000000108,0.013901597091142092,-0.0008819286490366774,0.0,0.0
Uncontrolled,26.70000000000011,0.013791569988066665,-0.0011002710307542643,0.0,0.0
Uncontrolled,26.80000000000011,0.014603490565221172,0.008119205771545065,0.0,0.0
Uncontrolled,26.900000000000112,0.014412769316821571,-0.0019072124839960049,0.0,0.0
Uncontrolled,27.000000000000114,0.014257255235528616,-0.0015551408129295537,0.0,0.0
Uncontrolled,27.100000000000115,0.01161914670740992,-0.026381085281186954,0.0,0.0
Uncontrolled,27.200000000000117,0.008275139127757642,-0.033440075796522764,0.0,0.0
Uncontrolled,27.300000000000118,0.005634579702287999,-0.026405594254696428,0.0,0.0
Uncontrolled,27.40000000000012,0.0028754570661827495,-0.027591226361052497,0.0,0.0
Uncontrolled,27.50000000000012,0.00023464411007410998,-0.02640812956108639,0.0,0.0
Uncontrolled,27.600000000000122,-0.002615045556064906,-0.028496896661390155,0.0,0.0
Uncontrolled,27.700000000000124,-0.0044695138106049526,-0.018544682545400468,0.0,0.0
Uncontrolled,27.800000000000125,-0.0066843821659275,-0.022148683553225478,0.0,0.0
Uncontrolled,27.900000000000126,-0.007751897694535206,-0.010675155286077058,0.0,0.0
Uncontrolled,28.000000000000128,-0.007909254715015043,-0.0015735702047983708,0.0,0.0
Uncontrolled,28.10000000000013,-0.00847361276672971,-0.005643580517146665,0.0,0.0
Uncontrolled,28.20000000000013,-0.009131082510456443,-0.006574697437267335,0.0,0.0
Uncontrolled,28.300000000000132,-0.007353257192744125,0.01777825317712319,0.0,0.0
Uncontrolled,28.400000000000134,-0.0056594375971311325,0.01693819595612992,0.0,0.0
Uncontrolled,28.500000000000135,-0.004127272789007722,0.015321648081234101,0.0,0.0
Uncontrolled,28.600000000000136,-0.0034949134417539803,0.006323593472537421,0.0,0.0
Uncontrolled,28.700000000000138,-0.004443368286311981,-0.009484548445580002,0.0,0.0
Uncontrolled,28.80000000000014,-0.008707175933939715,-0.04263807647627735,0.0,0.0
Uncontrolled,28.90000000000014,-0.01374017861992248,-0.05033002685982765,0.0,0.0
Uncontrolled,29.000000000000142,-0.019629182443200617,-0.05889003823278137,0.0,0.0
Uncontrolled,29.100000000000144,-0.025364969594842586,-0.05735787151641967,0.0,0.0
Uncontrolled,29.200000000000145,-0.030455822711276732,-0.05090853116434147,0.0,0.0
Uncontrolled,29.300000000000146,-0.03447864473900261,-0.040228220277258794,0.0,0.0
Uncontrolled,29.400000000000148,-0.040682535612005424,-0.06203890873002813,0.0,0.0
Uncontrolled,29.50000000000015,-0.047205681952241674,-0.06523146340236245,0.0,0.0
Uncontrolled,29.60000000000015,-0.05246165182875013,-0.05255969876508454,0.0,0.0
Uncontrolled,29.700000000000152,-0.05646032471733112,-0.03998672888580985,0.0,0.0
Uncontrolled,29.800000000000153,-0.06040763868416029,-0.03947313966829174,0.0,0.0
Uncontrolled,29.900000000000155,-0.06350409233990523,-0.03096453655744936,0.0,0.0
Uncontrolled,30.000000000000156,-0.06582822161577367,-0.02324129275868449,0.0,0.0
Uncontrolled,30.100000000000158,-0.06770734587024664,-0.01879124254472965,0.0,0.0
Uncontrolled,30.20000000000016,-0.06918716651296043,-0.014798206427137906,0.0,0.0
Uncontrolled,30.30000000000016,-0.0707634026231455,-0.015762361101850666,0.0,0.0
Uncontrolled,30.400000000000162,-0.07063599285827037,0.0012740976487513461,0.0,0.0
Uncontrolled,30.500000000000163,-0.06981619018665451,0.008198026716158605,0.0,0.0
Uncontrolled,30.600000000000165,-0.06892892581811373,0.008872643685407834,0.0,0.0
Uncontrolled,30.700000000000166,-0.06788023124625146,0.010486945718622659,0.0,0.0
Uncontrolled,30.800000000000168,-0.06609457419678878,0.01785657049462685,0.0,0.0
Uncontrolled,30.90000000000017,-0.06584704062793996,0.002475335688488201,0.0,0.0
Uncontrolled,31.00000000000017,-0.06646091399818196,-0.006138733702420015,0.0,0.0
Uncontrolled,31.100000000000172,-0.0666796536503183,-0.002187396521363387,0.0,0.0
Uncontrolled,31.200000000000173,-0.06541115583345358,0.012684978168647273,0.0,0.0
Uncontrolled,31.300000000000175,-0.06457464849735425,0.008365073360993246,0.0,0.0
Uncontrolled,31.400000000000176,-0.06578746537316164,-0.012128168758073848,0.0,0.0
Uncontrolled,31.500000000000178,-0.06633341789157846,-0.005459525184168056,0.0,0.0
Uncontrolled,31.60000000000018,-0.06443983323284545,0.018935846587330028,0.0,0.0
Uncontrolled,31.70000000000018,-0.06144813450345985,0.02991698729385602,0.0,0.0
Uncontrolled,31.800000000000182,-0.05776724084892704,0.036808936545328165,0.0,0.0
Uncontrolled,31.900000000000183,-0.05466580815468595,0.031014326942410908,0.0,0.0
Uncontrolled,32.000000000000185,-0.05198560641145585,0.026802017432300977,0.0,0.0
Uncontrolled,32.100000000000186,-0.04775207795452033,0.04233528456935527,0.0,0.0
Uncontrolled,32.20000000000019,-0.0424927528289224,0.05259325125597927,0.0,0.0
