controller,time,psi,u
Uncontrolled,14.999999999999963,-0.04423857063219514,0.0
Uncontrolled,15.099999999999962,-0.038407188796634496,0.0
Uncontrolled,15.199999999999962,-0.03371114530227,0.0
Uncontrolled,15.299999999999962,-0.02828594628426697,0.0
Uncontrolled,15.399999999999961,-0.022614227210426593,0.0
Uncontrolled,15.499999999999961,-0.016741299573730807,0.0
Uncontrolled,15.59999999999996,-0.011338741501024152,0.0
Uncontrolled,15.69999999999996,-0.006044476842578944,0.0
Uncontrolled,15.79999999999996,-0.0002049170510441331,0.0
Uncontrolled,15.89999999999996,0.005170656477016404,0.0
Uncontrolled,15.99999999999996,0.010469012074059893,0.0
Uncontrolled,16.09999999999996,0.015050659383673011,0.0
Uncontrolled,16.19999999999996,0.019510677295627474,0.0
Uncontrolled,16.29999999999996,0.02319863329033059,0.0
Uncontrolled,16.399999999999963,0.02640919179587099,0.0
Uncontrolled,16.499999999999964,0.02921439661918534,0.0
Uncontrolled,16.599999999999966,0.032224801193510275,0.0
Uncontrolled,16.699999999999967,0.03518269060841293,0.0
Uncontrolled,16.79999999999997,0.03755205700857464,0.0
Uncontrolled,16.89999999999997,0.03958914516266979,0.0
Uncontrolled,16.99999999999997,0.041337778346293416,0.0
Uncontrolled,17.099999999999973,0.042803324419884284,0.0
Uncontrolled,17.199999999999974,0.04355911249337247,0.0
Uncontrolled,17.299999999999976,0.0444638462724152,0.0
Uncontrolled,17.399999999999977,0.04523410465854901,0.0
Uncontrolled,17.49999999999998,0.045831745365675365,0.0
Uncontrolled,17.59999999999998,0.047416925535773216,0.0
Uncontrolled,17.69999999999998,0.04847065451705875,0.0
Uncontrolled,17.799999999999983,0.04958032320691264,0.0
Uncontrolled,17.899999999999984,0.049641226654828056,0.0
Uncontrolled,17.999999999999986,0.05038947349795625,0.0
Uncontrolled,18.099999999999987,0.05039857850999771,0.0
Uncontrolled,18.19999999999999,0.04963655227652538,0.0
Uncontrolled,18.29999999999999,0.048542995550030936,0.0
Uncontrolled,18.39999999999999,0.04675554157029101,0.0
Uncontrolled,18.499999999999993,0.04416496665091259,0.0
Uncontrolled,18.599999999999994,0.04180278728944932,0.0
Uncontrolled,18.699999999999996,0.039629229016927066,0.0
Uncontrolled,18.799999999999997,0.037325860905727426,0.0
Uncontrolled,18.9,0.0347178626646247,0.0
Uncontrolled,19.0,0.032333618840578476,0.0
Uncontrolled,19.1,0.029542212423186873,0.0
Uncontrolled,19.200000000000003,0.02631612701886949,0.0
Uncontrolled,19.300000000000004,0.023514631111876575,0.0
Uncontrolled,19.400000000000006,0.020222657047403385,0.0
Uncontrolled,19.500000000000007,0.016492681028793362,0.0
Uncontrolled,19.60000000000001,0.013051980325568266,0.0
Uncontrolled,19.70000000000001,0.009494122452554514,0.0
Uncontrolled,19.80000000000001,0.005498764765828952,0.0
Uncontrolled,19.900000000000013,0.0015146534240856003,0.0
Uncontrolled,20.000000000000014,-0.002489318563886461,0.0
Uncontrolled,20.100000000000016,-0.006725452813123182,0.0
Uncontrolled,20.200000000000017,-0.010670476591241838,0.0
Uncontrolled,20.30000000000002,-0.014108219628465334,0.0
Uncontrolled,20.40000000000002,-0.01686011371777631,0.0
Uncontrolled,20.50000000000002,-0.02008503849978368,0.0
Uncontrolled,20.600000000000023,-0.023061481704392685,0.0
Uncontrolled,20.700000000000024,-0.025797574855112467,0.0
Uncontrolled,20.800000000000026,-0.029359548005632025,0.0
Uncontrolled,20.900000000000027,-0.03310007823116243,0.0
Uncontrolled,21.00000000000003,-0.03654817473692111,0.0
Uncontrolled,21.10000000000003,-0.040600340542356124,0.0
Uncontrolled,21.20000000000003,-0.04414002889609677,0.0
Uncontrolled,21.300000000000033,-0.046705936530724475,0.0
Uncontrolled,21.400000000000034,-0.049608094431742016,0.0
Uncontrolled,21.500000000000036,-0.051442025548378144,0.0
Uncontrolled,21.600000000000037,-0.05117792795573141,0.0
Uncontrolled,21.70000000000004,-0.05080578621035847,0.0
Uncontrolled,21.80000000000004,-0.05034570011317629,0.0
Uncontrolled,21.90000000000004,-0.049872779835564124,0.0
Uncontrolled,22.000000000000043,-0.05061861491659621,0.0
Uncontrolled,22.100000000000044,-0.051703397290492586,0.0
Uncontrolled,22.200000000000045,-0.05206134874384455,0.0
Uncontrolled,22.300000000000047,-0.05228823509365928,0.0
Uncontrolled,22.40000000000005,-0.05192985237696708,0.0
Uncontrolled,22.50000000000005,-0.05132957553184628,0.0
Uncontrolled,22.60000000000005,-0.05052429128554542,0.0
Uncontrolled,22.700000000000053,-0.04922006639046356,0.0
Uncontrolled,22.800000000000054,-0.04825895570792934,0.0
Uncontrolled,22.900000000000055,-0.046879809328345276,0.0
Uncontrolled,23.000000000000057,-0.045162608922316216,0.0
Uncontrolled,23.10000000000006,-0.04387270223684192,0.0
Uncontrolled,23.20000000000006,-0.04322216181381973,0.0
Uncontrolled,23.30000000000006,-0.0426345361967876,0.0
Uncontrolled,23.400000000000063,-0.04049016890517049,0.0
Uncontrolled,23.500000000000064,-0.03741489670577222,0.0
Uncontrolled,23.600000000000065,-0.03366743981952812,0.0
Uncontrolled,23.700000000000067,-0.030028151675030146,0.0
Uncontrolled,23.800000000000068,-0.026223404168255204,0.0
Uncontrolled,23.90000000000007,-0.02248662222730742,0.0
Uncontrolled,24.00000000000007,-0.018206907217597452,0.0
Uncontrolled,24.100000000000072,-0.013703227174149039,0.0
Uncontrolled,24.200000000000074,-0.010225124090858696,0.0
Uncontrolled,24.300000000000075,-0.006394633165902863,0.0
Uncontrolled,24.400000000000077,-0.002196116705424133,0.0
Uncontrolled,24.500000000000078,0.0016179093987461024,0.0
Uncontrolled,24.60000000000008,0.004934603756700273,0.0
Uncontrolled,24.70000000000008,0.0084070536196166,0.0
Uncontrolled,24.800000000000082,0.011442110047470309,0.0
Uncontrolled,24.900000000000084,0.014471995610893932,0.0
Uncontrolled,25.000000000000085,0.01735540047662923,0.0
Uncontrolled,25.100000000000087,0.01979697964221443,0.0
Uncontrolled,25.200000000000088,0.021486233415892148,0.0
Uncontrolled,25.30000000000009,0.02413192634723472,0.0
Uncontrolled,25.40000000000009,0.026188173103749508,0.0
Uncontrolled,25.500000000000092,0.02817539450921443,0.0
Uncontrolled,25.600000000000094,0.029883519280261926,0.0
Uncontrolled,25.700000000000095,0.031386757265198885,0.0
Uncontrolled,25.800000000000097,0.03191067321606385,0.0
Uncontrolled,25.900000000000098,0.0318171427432901,0.0
Uncontrolled,26.0000000000001,0.030913498036967503,0.0
Uncontrolled,26.1000000000001,0.03046779818804954,0.0
Uncontrolled,26.200000000000102,0.029472855931639896,0.0
Uncontrolled,26.300000000000104,0.027928166816363228,0.0
Uncontrolled,26.400000000000105,0.026736489786535006,0.0
Uncontrolled,26.500000000000107,0.025620984876630965,0.0
Uncontrolled,26.600000000000108,0.025052707400356256,0.0
Uncontrolled,26.70000000000011,0.024661882595369278,0.0
Uncontrolled,26.80000000000011,0.024175459187761546,0.0
Uncontrolled,26.900000000000112,0.02314096473790575,0.0
Uncontrolled,27.000000000000114,0.02278616419774088,0.0
Uncontrolled,27.100000000000115,0.022238735148969586,0.0
Uncontrolled,27.200000000000117,0.021151050964314518,0.0
Uncontrolled,27.300000000000118,0.019884845417698627,0.0
Uncontrolled,27.40000000000012,0.018457555053510856,0.0
Uncontrolled,27.50000000000012,0.01771053385855695,0.0
Uncontrolled,27.600000000000122,0.018111369233723154,0.0
Uncontrolled,27.700000000000124,0.018286437817184087,0.0
Uncontrolled,27.800000000000125,0.018850535041904055,0.0
Uncontrolled,27.900000000000126,0.018905930129201026,0.0
Uncontrolled,28.000000000000128,0.018740142225414917,0.0
Uncontrolled,28.10000000000013,0.018118968429788225,0.0
Uncontrolled,28.20000000000013,0.017476691721407284,0.0
Uncontrolled,28.300000000000132,0.017066550011169638,0.0
Uncontrolled,28.400000000000134,0.016677313053014484,0.0
Uncontrolled,28.500000000000135,0.01602667210154325,0.0
Uncontrolled,28.600000000000136,0.015287750058418344,0.0
Uncontrolled,28.700000000000138,0.014128384787173293,0.0
Uncontrolled,28.80000000000014,0.0131882154398419,0.0
Uncontrolled,28.90000000000014,0.012013580511328304,0.0
Uncontrolled,29.000000000000142,0.010930927232620626,0.0
Uncontrolled,29.100000000000144,0.010302062468788451,0.0
Uncontrolled,29.200000000000145,0.009332835687515908,0.0
Uncontrolled,29.300000000000146,0.0090848291644018,0.0
Uncontrolled,29.400000000000148,0.007648266063370978,0.0
Uncontrolled,29.50000000000015,0.005899599830454875,0.0
Uncontrolled,29.60000000000015,0.004648893315098064,0.0
Uncontrolled,29.700000000000152,0.003248248843410608,0.0
Uncontrolled,29.800000000000153,0.001372320583463902,0.0
Uncontrolled,29.900000000000155,-0.0007151564946649572,0.0
Uncontrolled,30.000000000000156,-0.00196478565994756,0.0
PID,0.1,1.0148708577023404,0.0
PID,0.2,1.0235229463327482,0.0
PID,0.30000000000000004,1.0264580003485408,0.0
PID,0.4,1.0243579645258474,0.0
PID,0.5,1.0166909655081113,0.0
PID,0.6,1.0041344616219743,0.0
PID,0.7,0.987023578787949,0.0
PID,0.7999999999999999,0.9650753549373692,0.0
PID,0.8999999999999999,0.9383056823453902,0.0
PID,0.9999999999999999,0.9077445153900683,0.0
PID,1.0999999999999999,0.8740580857182232,0.0
PID,1.2,0.8366884676926686,0.0
PID,1.3,0.7960896618775195,0.0
PID,1.4000000000000001,0.7535512078077287,0.0
PID,1.5000000000000002,0.7082417064380687,0.0
PID,1.6000000000000003,0.6604932032457819,0.0
PID,1.7000000000000004,0.6120767487991841,0.0
PID,1.8000000000000005,0.5612868629455514,0.0
PID,1.9000000000000006,0.5096124722729467,0.0
PID,2.0000000000000004,0.4559384267005797,0.0
PID,2.1000000000000005,0.401296428987838,0.0
PID,2.2000000000000006,0.34703904950278036,0.0
PID,2.3000000000000007,0.29328491436129883,0.0
PID,2.400000000000001,0.23922641862705757,0.0
PID,2.500000000000001,0.18536669630664596,0.0
PID,2.600000000000001,0.13223604869551878,0.0
PID,2.700000000000001,0.07940908862038559,0.0
PID,2.800000000000001,0.028046001906934966,0.0
PID,2.9000000000000012,-0.020802633568611707,0.0
PID,3.0000000000000013,-0.06875941755882456,0.0
PID,3.1000000000000014,-0.11592446748131355,0.0
PID,3.2000000000000015,-0.16095082169593075,0.0
PID,3.3000000000000016,-0.20388119283117206,0.0
PID,3.4000000000000017,-0.24360208190224053,0.0
PID,3.5000000000000018,-0.28099351498119424,0.0
PID,3.600000000000002,-0.3158835673496977,0.0
PID,3.700000000000002,-0.3482429372551982,0.0
PID,3.800000000000002,-0.37815350693790184,0.023210755853002862
PID,3.900000000000002,-0.4044659181927268,0.04735588106953309
PID,4.000000000000002,-0.42797166221964333,0.06570065315361162
PID,4.100000000000001,-0.4472026837461767,0.08464467993581237
PID,4.200000000000001,-0.46265507928512406,0.09614938333081324
PID,4.300000000000001,-0.474014527299439,0.10642852338491543
PID,4.4,-0.48181232628770304,0.11271752976845895
PID,4.5,-0.4862481558247307,0.11790706840667159
